Checking PR-14331 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3877-sync-filter
Checking PR-14410 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3894-report-owner-pl-bo-sung-tai-queue
Checking PR-14450 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3982-bo-sung-bao-cao-do-dau-adsun-15
Checking PR-14048 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3782-bo-sung-tinh-nang-hien-thi-theo-luot
Checking PR-14225 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3889
Checking PR-14446 from smartlogtms/smartlog.stm.2.5 and branch bugfix/thp-order-eta
Checking PR-14441 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3944
Checking PR-14437 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3940-qdtrans
Checking PR-14394 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3915-rang-buoc-thau-tach-chuyen
Checking PR-14393 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3915-rang-buoc-thau-tach-chuyen
Checking PR-14364 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3891-edit-master-time
Checking PR-14414 from smartlogtms/smartlog.stm.2.5 and branch bugfix/auto-sync-maint-mo
Checking PR-14257 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3934-auto-province
Checking PR-14168 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3755
Checking PR-14369 from smartlogtms/smartlog.stm.2.5 and branch bugfix/excel-xe-thau-them-moi
Checking PR-14286 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3822-open-in-new-tab
Checking PR-14400 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3135-chan-tinh-phi-thang
Checking PR-13995 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3589-change-payment-method
Checking PR-14378 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3899-new-contract-date
Checking PR-14247 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3819-tick-all-hidden-grid-setting
Checking PR-13672 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3468-bo-sung-popup-filter
Checking PR-14148 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3750-romooc-gps-code
Checking PR-14271 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3893-bo-sung-phan-quyen
Checking PR-14108 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3878-mainetti
Checking PR-13680 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3578
Checking PR-13827 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3784
Checking PR-14208 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3886-filter-status-master
Checking PR-14098 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-920-new-entity
Checking PR-13681 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3615-fix-conflict
Checking PR-13733 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3712-bo-sung-ngay-loc-bao-cao
Checking PR-13965 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3667
Checking PR-13664 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3528-fin-refresh
Checking PR-13666 from smartlogtms/smartlog.stm.2.5 and branch feature/TMS-3591
Checking PR-13661 from smartlogtms/smartlog.stm.2.5 and branch feature/update-apm-configuration

  34 pull requests were processed
[Sun Apr 16 04:32:03 UTC 2023] com.cloudbees.jenkins.plugins.bitbucket.hooks.PushHookProcessor$1 UPDATED event from 192.168.39.0 ⇒ http://jenkins-smartlog.danghung.xyz/bitbucket-scmsource-hook/notify with timestamp Sun Apr 16 04:31:24 UTC 2023 processed in 16 sec
[Sun Apr 16 04:32:15 UTC 2023] Received com.cloudbees.jenkins.plugins.bitbucket.hooks.PushHookProcessor$1 UPDATED event from 192.168.39.0 ⇒ http://jenkins-smartlog.danghung.xyz/bitbucket-scmsource-hook/notify with timestamp Sun Apr 16 04:31:53 UTC 2023
Connecting to https://bitbucket.org using f1011a6a-b720-4819-b875-826292740ef0
Repository type: Git
Looking up smartlogtms/smartlog.stm.2.5 for branches
Checking branch dev from smartlogtms/smartlog.stm.2.5
Checking branch staging from smartlogtms/smartlog.stm.2.5
Checking branch TMS-346 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-357 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-361 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-395 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-399 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-404 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-410 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-411 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-415 from smartlogtms/smartlog.stm.2.5
Checking branch TMS-441 from smartlogtms/smartlog.stm.2.5
Checking branch TMSBUG from smartlogtms/smartlog.stm.2.5
Checking branch TMSBUG-108 from smartlogtms/smartlog.stm.2.5
Checking branch TMSBUG-40 from smartlogtms/smartlog.stm.2.5
Checking branch TMSBUG-53 from smartlogtms/smartlog.stm.2.5
Checking branch TMSBUG-55 from smartlogtms/smartlog.stm.2.5
Checking branch add-tag-git-version from smartlogtms/smartlog.stm.2.5
Checking branch argocd from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-api-cancel from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-api-trip from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-auto-plan-total-ton-mismatch from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-check-bug from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-custom-rule-mon from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-dimweight-report-fix from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-hub-status-DCReturn from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-hub-status-miss from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-hubpicked from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-hubpicked-dev from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-hubpicked-master from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-mon-dock from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-order-to-ops from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/1mg-report-diff-check from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/DeliveryProduct-Update from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/ListDockAutoInOut-null from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/MA-filter-mastercode-ordercode-regno from smartlogtms/smartlog.stm.2.5
Checking branch bugfix/OrderToOPS from smartlogtms/smartlog.stm.2.5
